date,state,name,code,cases,deaths
2020-03-28,Acre,Rio Branco,120040,25,0
2020-03-28,Alagoas,Maceió,270430,13,0
2020-03-28,Alagoas,Porto Real do Colégio,270750,1,0
2020-03-28,Amapá,Macapá,160030,4,0
2020-03-28,Amazonas,Boca do Acre,130070,1,0
2020-03-28,Amazonas,Manacapuru,130250,2,0
2020-03-28,Amazonas,Manaus,130260,105,0
2020-03-28,Amazonas,Parintins,130340,2,1
2020-03-28,Amazonas,Santo Antônio do Içá,130370,1,0
2020-03-28,Bahia,Barreiras,290320,1,0
2020-03-28,Bahia,Brumado,290460,1,0
2020-03-28,Bahia,Camaçari,290570,1,0
2020-03-28,Bahia,Canarana,290620,1,0
2020-03-28,Bahia,Conceição do Jacuípe,290850,1,0
2020-03-28,Bahia,Conde,290860,1,0
2020-03-28,Bahia,Feira de Santana,291080,9,0
2020-03-28,Bahia,Ilhéus,291360,2,0
2020-03-28,Bahia,Itabuna,291480,2,0
2020-03-28,Bahia,Itagibá,291520,1,0
2020-03-28,Bahia,Jequié,291800,1,0
2020-03-28,Bahia,Juazeiro,291840,2,0
2020-03-28,Bahia,Lauro de Freitas,291920,7,0
2020-03-28,Bahia,Porto Seguro,292530,10,0
2020-03-28,Bahia,Prado,292550,3,0
2020-03-28,Bahia,Salvador,292740,82,0
2020-03-28,Bahia,São Domingos,292895,1,0
2020-03-28,Bahia,Teixeira de Freitas,293135,1,0
2020-03-28,Ceará,Aquiraz,230100,7,0
2020-03-28,Ceará,Caucaia,230370,1,0
2020-03-28,Ceará,Fortaleza,230440,304,4
2020-03-28,Ceará,Fortim,230445,1,0
2020-03-28,Ceará,Juazeiro do Norte,230730,1,0
2020-03-28,Ceará,Maranguape,230770,1,0
2020-03-28,Ceará,Mauriti,230810,1,0
2020-03-28,Ceará,Quixadá,231130,2,0
2020-03-28,Ceará,Sobral,231290,4,0
2020-03-28,Distrito Federal,Brasília,530010,260,0
2020-03-28,Espírito Santo,Cachoeiro de Itapemirim,320120,1,0
2020-03-28,Espírito Santo,Cariacica,320130,1,0
2020-03-28,Espírito Santo,Castelo,320140,1,0
2020-03-28,Espírito Santo,Linhares,320320,4,0
2020-03-28,Espírito Santo,Santa Teresa,320460,1,0
2020-03-28,Espírito Santo,Serra,320500,5,0
2020-03-28,Espírito Santo,São Roque do Canaã,320495,1,0
2020-03-28,Espírito Santo,Vila Velha,320520,21,0
2020-03-28,Espírito Santo,Vitória,320530,18,0
2020-03-28,Goiás,Anápolis,520110,4,0
2020-03-28,Goiás,Aparecida de Goiânia,520140,2,0
2020-03-28,Goiás,Catalão,520510,1,0
2020-03-28,Goiás,Goianésia,520860,1,0
2020-03-28,Goiás,Goiânia,520870,33,0
2020-03-28,Goiás,Hidrolândia,520970,1,0
2020-03-28,Goiás,Jataí,521190,2,0
2020-03-28,Goiás,Luziânia,521250,1,1
2020-03-28,Goiás,Rio Verde,521880,7,0
2020-03-28,Goiás,Silvânia,522060,1,0
2020-03-28,Goiás,Valparaíso de Goiás,522185,2,0
2020-03-28,Goiás,Águas Lindas de Goiás,520025,1,0
2020-03-28,Maranhão,Imperatriz,210530,1,0
2020-03-28,Maranhão,São Luís,211130,13,0
2020-03-28,Mato Grosso,Cuiabá,510340,10,0
2020-03-28,Mato Grosso,Nova Monte Verde,510895,1,0
