date,hour,state,suspects,refuses,cases,deaths
2020-01-30,16:00,Minas Gerais,1,0,0,0
2020-01-30,16:00,Rio de Janeiro,1,0,0,0
2020-01-30,16:00,Santa Catarina,0,2,0,0
2020-01-30,16:00,São Paulo,3,1,0,0
2020-01-30,16:00,Rio Grande do Sul,2,2,0,0
2020-01-30,16:00,Paraná,1,1,0,0
2020-01-30,16:00,Ceará,1,0,0,0
2020-01-31,12:00,Ceará,1,0,0,0
2020-01-31,12:00,Minas Gerais,1,0,0,0
2020-01-31,12:00,Rio de Janeiro,0,1,0,0
2020-01-31,12:00,São Paulo,7,2,0,0
2020-01-31,12:00,Paraná,1,1,0,0
2020-01-31,12:00,Santa Catarina,1,2,0,0
2020-01-31,12:00,Rio Grande do Sul,2,3,0,0
2020-02-01,12:00,Ceará,1,0,0,0
2020-02-01,12:00,Minas Gerais,0,1,0,0
2020-02-01,12:00,Rio de Janeiro,0,1,0,0
2020-02-01,12:00,São Paulo,8,2,0,0
2020-02-01,12:00,Paraná,1,1,0,0
2020-02-01,12:00,Santa Catarina,2,2,0,0
2020-02-01,12:00,Rio Grande do Sul,4,3,0,0
2020-02-02,12:00,Ceará,1,0,0,0
2020-02-02,12:00,Minas Gerais,0,1,0,0
2020-02-02,12:00,Rio de Janeiro,0,1,0,0
2020-02-02,12:00,São Paulo,8,2,0,0
2020-02-02,12:00,Paraná,1,1,0,0
2020-02-02,12:00,Santa Catarina,2,2,0,0
2020-02-02,12:00,Rio Grande do Sul,4,3,0,0
2020-02-03,16:00,Ceará,0,1,0,0
2020-02-03,16:00,Minas Gerais,0,1,0,0
2020-02-03,16:00,Rio de Janeiro,1,1,0,0
2020-02-03,16:00,São Paulo,7,3,0,0
2020-02-03,16:00,Paraná,0,2,0,0
2020-02-03,16:00,Santa Catarina,2,2,0,0
2020-02-03,16:00,Rio Grande do Sul,4,3,0,0
2020-02-04,15:00,Ceará,0,1,0,0
2020-02-04,15:00,Minas Gerais,0,1,0,0
2020-02-04,15:00,Rio de Janeiro,1,2,0,0
2020-02-04,15:00,São Paulo,6,5,0,0
2020-02-04,15:00,Paraná,0,2,0,0
2020-02-04,15:00,Santa Catarina,2,2,0,0
2020-02-04,15:00,Rio Grande do Sul,4,3,0,0
2020-02-05,12:00,Ceará,0,1,0,0
2020-02-05,12:00,Minas Gerais,0,1,0,0
2020-02-05,12:00,Rio de Janeiro,1,2,0,0
2020-02-05,12:00,São Paulo,4,9,0,0
2020-02-05,12:00,Paraná,0,2,0,0
2020-02-05,12:00,Santa Catarina,1,3,0,0
2020-02-05,12:00,Rio Grande do Sul,5,3,0,0
2020-02-06,15:30,Ceará,0,1,0,0
2020-02-06,15:30,Minas Gerais,1,1,0,0
2020-02-06,15:30,Rio de Janeiro,1,2,0,0
2020-02-06,15:30,São Paulo,3,10,0,0
2020-02-06,15:30,Paraná,0,2,0,0
2020-02-06,15:30,Santa Catarina,1,3,0,0
2020-02-06,15:30,Rio Grande do Sul,3,5,0,0
2020-02-06,15:30,Ceará,0,1,0,0
2020-02-06,15:30,Minas Gerais,1,1,0,0
2020-02-06,15:30,Rio de Janeiro,1,2,0,0
2020-02-06,15:30,São Paulo,3,10,0,0
2020-02-06,15:30,Paraná,0,2,0,0
2020-02-06,15:30,Santa Catarina,1,3,0,0
2020-02-06,15:30,Rio Grande do Sul,3,5,0,0
2020-02-07,15:30,Ceará,0,1,0,0
2020-02-07,15:30,Minas Gerais,1,1,0,0
2020-02-07,15:30,Rio de Janeiro,1,2,0,0
2020-02-07,15:30,São Paulo,3,11,0,0
2020-02-07,15:30,Paraná,0,2,0,0
2020-02-07,15:30,Santa Catarina,1,3,0,0
2020-02-07,15:30,Rio Grande do Sul,2,6,0,0
2020-02-08,13:30,Ceará,0,1,0,0
2020-02-08,13:30,Minas Gerais,1,1,0,0
2020-02-08,13:30,Rio de Janeiro,1,2,0,0
2020-02-08,13:30,São Paulo,2,13,0,0
2020-02-08,13:30,Paraná,0,2,0,0
2020-02-08,13:30,Santa Catarina,1,3,0,0
2020-02-08,13:30,Rio Grande do Sul,3,6,0,0
2020-02-09,13:30,Ceará,0,1,0,0
2020-02-09,13:30,Minas Gerais,1,1,0,0
2020-02-09,13:30,Rio de Janeiro,2,2,0,0
2020-02-09,13:30,São Paulo,3,13,0,0
2020-02-09,13:30,Paraná,1,2,0,0
2020-02-09,13:30,Santa Catarina,1,3,0,0
2020-02-09,13:30,Rio Grande do Sul,3,6,0,0
2020-02-10,15:30,Ceará,0,1,0,0
2020-02-10,15:30,Minas Gerais,1,1,0,0
2020-02-10,15:30,Rio de Janeiro,1,3,0,0
2020-02-10,15:30,São Paulo,3,13,0,0
2020-02-10,15:30,Paraná,1,2,0,0
2020-02-10,15:30,Santa Catarina,0,4,0,0
2020-02-10,15:30,Rio Grande do Sul,1,8,0,0
2020-02-11,16:00,Ceará,0,1,0,0
2020-02-11,16:00,Minas Gerais,1,1,0,0
2020-02-11,16:00,Rio de Janeiro,2,3,0,0
2020-02-11,16:00,São Paulo,3,14,0,0
2020-02-11,16:00,Paraná,1,2,0,0
2020-02-11,16:00,Santa Catarina,0,4,0,0
2020-02-11,16:00,Rio Grande do Sul,1,8,0,0
2020-02-12,16:00,Ceará,0,1,0,0
2020-02-12,16:00,Minas Gerais,1,1,0,0
2020-02-12,16:00,Rio de Janeiro,2,3,0,0
2020-02-12,16:00,São Paulo,6,14,0,0
2020-02-12,16:00,Paraná,1,2,0,0
2020-02-12,16:00,Santa Catarina,0,4,0,0
2020-02-12,16:00,Rio Grande do Sul,1,8,0,0
2020-02-13,16:00,Ceará,0,1,0,0
2020-02-13,16:00,Minas Gerais,0,2,0,0
2020-02-13,16:00,Rio de Janeiro,0,5,0,0
2020-02-13,16:00,São Paulo,3,17,0,0
2020-02-13,16:00,Paraná,1,2,0,0
2020-02-13,16:00,Santa Catarina,0,4,0,0
2020-02-13,16:00,Rio Grande do Sul,2,8,0,0
2020-02-13,16:00,Distrito Federal,0,1,0,0
2020-02-14,16:00,Ceará,0,1,0,0
2020-02-14,16:00,Minas Gerais,0,2,0,0
2020-02-14,16:00,Rio de Janeiro,0,5,0,0
2020-02-14,16:00,São Paulo,1,20,0,0
2020-02-14,16:00,Paraná,1,2,0,0
2020-02-14,16:00,Santa Catarina,0,4,0,0
2020-02-14,16:00,Rio Grande do Sul,2,8,0,0
2020-02-14,16:00,Distrito Federal,0,1,0,0
2020-02-15,14:00,Ceará,0,1,0,0
2020-02-15,14:00,Minas Gerais,0,2,0,0
2020-02-15,14:00,Rio de Janeiro,0,5,0,0
2020-02-15,14:00,São Paulo,2,20,0,0
2020-02-15,14:00,Paraná,0,3,0,0
2020-02-15,14:00,Santa Catarina,0,4,0,0
2020-02-15,14:00,Rio Grande do Sul,1,9,0,0
